jenis,koridor_no,trayek,jumlah_penumpang,month,month_ts
BRT,13,KORIDOR 13 (CBD CILEDUG - BLOK M),261674,2020-09-01,2020-09-01T00:00:00
BRT,1,KORIDOR 1 (BLOK M - KOTA),965253,2020-10-01,2020-10-01T00:00:00
BRT,2,KORIDOR 2 (PULOGADUNG 1 - HARMONI),406510,2020-10-01,2020-10-01T00:00:00
BRT,3,KORIDOR 3 (KALIDERES - PASAR BARU),480395,2020-10-01,2020-10-01T00:00:00
BRT,4,KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2),283321,2020-10-01,2020-10-01T00:00:00
BRT,5,KORIDOR 5 (KAMPUNG MELAYU - ANCOL),391265,2020-10-01,2020-10-01T00:00:00
BRT,6,KORIDOR 6 (RAGUNAN - DUKUH ATAS 2),393771,2020-10-01,2020-10-01T00:00:00
BRT,7,KORIDOR 7 (KAMPUNG RAMBUTAN - KAMPUNG MELAYU),413282,2020-10-01,2020-10-01T00:00:00
BRT,8,KORIDOR 8 (LEBAK BULUS - HARMONI),466672,2020-10-01,2020-10-01T00:00:00
BRT,9,KORIDOR 9 (PINANG RANTI - PLUIT),727534,2020-10-01,2020-10-01T00:00:00
BRT,10,KORIDOR 10 (PGC 2 - PLUIT),355237,2020-10-01,2020-10-01T00:00:00
BRT,11,KORIDOR 11 (PULOGEBANG - KAMPUNG MELAYU),149092,2020-10-01,2020-10-01T00:00:00
BRT,12,KORIDOR 12 (PENJARINGAN - TANJUNG PRIOK),146627,2020-10-01,2020-10-01T00:00:00
BRT,13,KORIDOR 13 (CBD CILEDUG - BLOK M),312831,2020-10-01,2020-10-01T00:00:00
BRT,1,KORIDOR 1 (BLOK M - KOTA),872507,2020-11-01,2020-11-01T00:00:00
BRT,2,KORIDOR 2 (PULOGADUNG 1 - HARMONI),359703,2020-11-01,2020-11-01T00:00:00
BRT,3,KORIDOR 3 (KALIDERES - PASAR BARU),478685,2020-11-01,2020-11-01T00:00:00
BRT,4,KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2),273383,2020-11-01,2020-11-01T00:00:00
BRT,5,KORIDOR 5 (KAMPUNG MELAYU - ANCOL),444222,2020-11-01,2020-11-01T00:00:00
BRT,6,KORIDOR 6 (RAGUNAN - DUKUH ATAS 2),363628,2020-11-01,2020-11-01T00:00:00
BRT,7,KORIDOR 7 (KAMPUNG RAMBUTAN - KAMPUNG MELAYU),460311,2020-11-01,2020-11-01T00:00:00
BRT,8,KORIDOR 8 (LEBAK BULUS - HARMONI),460608,2020-11-01,2020-11-01T00:00:00
BRT,9,KORIDOR 9 (PINANG RANTI - PLUIT),697985,2020-11-01,2020-11-01T00:00:00
BRT,10,KORIDOR 10 (PGC 2 - PLUIT),351832,2020-11-01,2020-11-01T00:00:00
BRT,11,KORIDOR 11 (PULOGEBANG - KAMPUNG MELAYU),146679,2020-11-01,2020-11-01T00:00:00
BRT,12,KORIDOR 12 (PENJARINGAN - TANJUNG PRIOK),147990,2020-11-01,2020-11-01T00:00:00
BRT,13,KORIDOR 13 (CBD CILEDUG - BLOK M),305141,2020-11-01,2020-11-01T00:00:00
